aid	name	price	price_monthly	contract_duration	link	shop_cat	brand	ean	image	dlv_time	dlv_cost	desc	old_price	size	color	features	promo_text
1476_2384	"Sony Xperia Z5 mit simfinity Flat"	1	29.9	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsony-xperia-z5-mit-allnet-flatrate%2F%3Ftdid%3D11121&tr=CON_RON_BIL_HV_sony-xperia-z5_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_sony-xperia-z5_x_x_Shopping_x&utm_content=sony-xperia-z5&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_sony-xperia-z5_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	simfinity	7311271540120	http://preis24.de/images/static/image_front/2384/xperiaz5_sw_01.jpg	"sofort lieferbar"	0	"Das Sony Xperia Z5 in schwarz hat ein 5.2 Zoll Display und sein Akku bietet 17 Stunden Gesprächszeit. Der interne Speicher ist mit 32 GB ausgestattet. Das Sony Xperia Z5 mit simfinity-Vertrag simfinity Flat kostet 29,90€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der simfinity-Tarif simfinity Flat-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.2 Zoll"	schwarz	"32GB, schwarz, LTE, SIM- und Netlock-frei, 5.2 Zoll, MVLZ 24 Monate"	
2454_1901	"Sony Xperia Z3 Compact mit Blau all in L (eco)"	1	23.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsony-xperia-z3-compact-mit-allnet-flatrate%2F%3Ftdid%3D11068&tr=CON_RON_BIL_HV_sony-xperia-z3-compact_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_sony-xperia-z3-compact_x_x_Shopping_x&utm_content=sony-xperia-z3-compact&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_sony-xperia-z3-compact_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	blau.de	7311271485889	http://preis24.de/images/static/image_front/1901/xperiaz3compact_sw_01.png	"lieferbar in 5 Tagen"	0	"Das Sony Xperia Z3 Compact in schwarz hat ein 4.6 Zoll Display und sein Akku bietet 14 Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Sony Xperia Z3 Compact mit blau.de-Vertrag Blau all in L (eco) kostet 23,99€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der blau.de-Tarif Blau all in L (eco)-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.200,00 MB, anschließend GPRS-Geschwindigkeit."	0	"4.6 Zoll"	schwarz	"16GB, schwarz, SIM- und Netlock-frei, 4.6 Zoll, MVLZ 24 Monate"	
2455_2250	"Huawei P8 Lite mit Blau all in M (eco)"	1	19.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fhuawei-p8-lite-mit-allnet-flatrate%2F%3Ftdid%3D11074&tr=CON_RON_BIL_HV_huawei-p8-lite_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_huawei-p8-lite_x_x_Shopping_x&utm_content=huawei-p8-lite&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_huawei-p8-lite_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	blau.de	6901443056729	http://preis24.de/images/static/image_front/2250/huawei-p8-lite_schwarz_01.png	"lieferbar in 5 Tagen"	0	"Das Huawei P8 Lite in schwarz hat ein 5 Zoll Display und sein Akku bietet 20 Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Huawei P8 Lite mit blau.de-Vertrag Blau all in M (eco) kostet 19,99€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der blau.de-Tarif Blau all in M (eco)-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 600,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.0 Zoll"	schwarz	"16GB, schwarz, SIM- und Netlock-frei, 5.0 Zoll, MVLZ 24 Monate"	
2455_2004	"Samsung Galaxy A5 mit Blau all in M (eco)"	29	19.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsamsung-galaxy-a5-mit-allnet-flatrate%2F%3Ftdid%3D11072&tr=CON_RON_BIL_HV_samsung-galaxy-a5_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_samsung-galaxy-a5_x_x_Shopping_x&utm_content=samsung-galaxy-a5&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_samsung-galaxy-a5_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	blau.de	8806086578677	http://preis24.de/images/static/image_front/2004/samsung-galaxy-a5.png	"lieferbar in 2 Wochen"	0	"Das Samsung Galaxy A5 in schwarz hat ein 4.97 Zoll Display und sein Akku bietet 15 Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Samsung Galaxy A5 mit blau.de-Vertrag Blau all in M (eco) kostet 19,99€ monatlich und hat eine 29,00€ Zuzahlung für das Handy. Der blau.de-Tarif Blau all in M (eco)-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 600,00 MB, anschließend GPRS-Geschwindigkeit."	22.99	"5.0 Zoll"	schwarz	"16GB, schwarz, SIM- und Netlock-frei, 5.0 Zoll, MVLZ 24 Monate"	
2371_2075	"Samsung Galaxy S6 Edge mit o2 Blue All-in M "	1	44.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsamsung-galaxy-s6-edge-mit-allnet-flatrate%2F%3Ftdid%3D11100&tr=CON_RON_BIL_HV_samsung-galaxy-s6-edge_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_samsung-galaxy-s6-edge_x_x_Shopping_x&utm_content=samsung-galaxy-s6-edge&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_samsung-galaxy-s6-edge_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	o2	4250698797270	http://preis24.de/images/static/image_front/2075/galaxys6edge_bl_01.png	"sofort lieferbar"	4.99	"Das Samsung Galaxy S6 Edge in saphirschwarz hat ein 5.1 Zoll Display und sein Akku bietet  Stunden Gesprächszeit. Der interne Speicher ist mit 32 GB ausgestattet. Das Samsung Galaxy S6 Edge mit o2-Vertrag o2 Blue All-in M inkl. Smartphone kostet 44,99€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der o2-Tarif o2 Blue All-in M inkl. Smartphone-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,10 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.1 Zoll"	saphirschwarz	"32GB, saphirschwarz, LTE, SIM- und Netlock-frei, 5.1 Zoll, MVLZ 24 Monate"	
2404_2370	"Samsung Galaxy S6 Edge+ mit o2 Blue All-in M "	19	52.49	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsamsung-galaxy-s6-edge-plus-mit-allnet-flatrate%2F%3Ftdid%3D10995&tr=CON_RON_BIL_HV_samsung-galaxy-s6-edge-plus_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_samsung-galaxy-s6-edge-plus_x_x_Shopping_x&utm_content=samsung-galaxy-s6-edge-plus&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_samsung-galaxy-s6-edge-plus_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	o2	8806086997447	http://preis24.de/images/static/image_front/2370/galaxys6edge_sw_01_102x150.jpg	"sofort lieferbar"	4.99	"Das Samsung Galaxy S6 Edge+ in saphirschwarz hat ein 5.7 Zoll Display und sein Akku bietet 20 Stunden Gesprächszeit. Der interne Speicher ist mit 32 GB ausgestattet. Das Samsung Galaxy S6 Edge+ mit o2-Vertrag o2 Blue All-in M inkl. Smartphone kostet 52,49€ monatlich und hat eine 19,00€ Zuzahlung für das Handy. Der o2-Tarif o2 Blue All-in M inkl. Smartphone-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,10 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.7 Zoll"	saphirschwarz	"32GB, saphirschwarz, LTE, SIM- und Netlock-frei, 5.7 Zoll, MVLZ 24 Monate"	
1567_2368	"Samsung Galaxy S5 Neo mit otelo Allnet-Flat L"	69	24.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsamsung-galaxy-s5-neo-mit-allnet-flatrate%2F%3Ftdid%3D10612&tr=CON_RON_BIL_HV_samsung-galaxy-s5-neo_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_samsung-galaxy-s5-neo_x_x_Shopping_x&utm_content=samsung-galaxy-s5-neo&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_samsung-galaxy-s5-neo_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	otelo	8806088031101	http://preis24.de/images/static/image_front/2368/_thumb_18452.png	"lieferbar in 2 Wochen"	0	"Das Samsung Galaxy S5 Neo in schwarz hat ein 5.01 Zoll Display und sein Akku bietet  Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Samsung Galaxy S5 Neo mit otelo-Vertrag otelo Allnet-Flat L kostet 24,99€ monatlich und hat eine 69,00€ Zuzahlung für das Handy. Der otelo-Tarif otelo Allnet-Flat L-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 750,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.0 Zoll"	schwarz	"16GB, schwarz, SIM- und Netlock-frei, 5.0 Zoll, MVLZ 24 Monate"	
1549_1997	"Samsung Galaxy Note Edge mit simfinity Flat"	199	44.9	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsamsung-galaxy-note-edge-mit-allnet-flatrate%2F%3Ftdid%3D9113&tr=CON_RON_BIL_HV_samsung-galaxy-note-edge_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_samsung-galaxy-note-edge_x_x_Shopping_x&utm_content=samsung-galaxy-note-edge&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_samsung-galaxy-note-edge_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	simfinity	8806086553452	http://preis24.de/images/static/image_front/1997/galaxynoteedge_sw_01.png	"sofort lieferbar"	0	"Das Samsung Galaxy Note Edge in schwarz hat ein 5.7 Zoll Display und sein Akku bietet 18 Stunden Gesprächszeit. Der interne Speicher ist mit 32 GB ausgestattet. Das Samsung Galaxy Note Edge mit simfinity-Vertrag simfinity Flat kostet 44,90€ monatlich und hat eine 199,00€ Zuzahlung für das Handy. Der simfinity-Tarif simfinity Flat-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	0	"5.7 Zoll"	schwarz	"32GB, schwarz, LTE, SIM- und Netlock-frei, 5.7 Zoll, MVLZ 24 Monate"	
1476_1503	"Apple iPhone 5s mit simfinity Flat"	1	29.9	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fapple-iphone-5s-mit-allnet-flatrate%2F%3Ftdid%3D8769&tr=CON_RON_BIL_HV_apple-iphone-5s_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_apple-iphone-5s_x_x_Shopping_x&utm_content=apple-iphone-5s&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_apple-iphone-5s_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	simfinity	0885909784356	http://preis24.de/images/static/image_front/1503/iphone5s_sw_01.png	"sofort lieferbar"	0	"Das Apple iPhone 5s in spacegrau hat ein 4 Zoll Display und sein Akku bietet 10 Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Apple iPhone 5s mit simfinity-Vertrag simfinity Flat kostet 29,90€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der simfinity-Tarif simfinity Flat-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	44.9	"4.0 Zoll"	spacegrau	"16GB, spacegrau, LTE, SIM- und Netlock-frei, 4.0 Zoll, MVLZ 24 Monate"	
1571_1901	"Sony Xperia Z3 Compact mit otelo Allnet-Flat XL"	1	29.99	"MVLZ 24 Monate"	http://t23.intelliad.de/index.php?redirect=http%3A%2F%2Fpreis24.de%2Fsony-xperia-z3-compact-mit-allnet-flatrate%2F%3Ftdid%3D8369&tr=CON_RON_BIL_HV_sony-xperia-z3-compact_x_x_Shopping_x&utm_source=RON&utm_medium=CON&utm_campaign=CON_RON_BIL_HV_sony-xperia-z3-compact_x_x_Shopping_x&utm_content=sony-xperia-z3-compact&cl=2323131323236323131303&bm=100&bmcl=4343935313236323131303&cp_name=RON&ag_name=HV_sony-xperia-z3-compact_x_BIL_x&bk=Shopping_x	"Elektronik > Kommunikationsgeräte > Telefone > Mobiltelefone"	otelo	7311271485889	http://preis24.de/images/static/image_front/1901/xperiaz3compact_sw_01.png	"lieferbar in 3 Tagen"	0	"Das Sony Xperia Z3 Compact in schwarz hat ein 4.6 Zoll Display und sein Akku bietet 14 Stunden Gesprächszeit. Der interne Speicher ist mit 16 GB ausgestattet. Das Sony Xperia Z3 Compact mit otelo-Vertrag otelo Allnet-Flat XL kostet 29,99€ monatlich und hat eine 1,00€ Zuzahlung für das Handy. Der otelo-Tarif otelo Allnet-Flat XL-Tarif bietet eine Flat in alle deutschen Handynetze, eine Festnetz-Flat, unbegrenztes Internetvolumen und eine SMS-Flat. Die mobile Surfgeschwindigkeit beträgt 21,60 Mbit/s bis zum Erreichen der Drosselungsgrenze von 1.000,00 MB, anschließend GPRS-Geschwindigkeit."	0	"4.6 Zoll"	schwarz	"16GB, schwarz, SIM- und Netlock-frei, 4.6 Zoll, MVLZ 24 Monate"	
